2020-03-06 20:22:24 DEBUG ResourceBundleMessageInterpolator:89 - Loaded expression factory via original TCCL
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./application.xml' (file:./application.xml)
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./application.yml' (file:./application.yml)
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./application.yaml' (file:./application.yaml)
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/config/application.properties
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/config/application.xml
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/config/application.yml
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/config/application.yaml
#rootLogger.level = debug2020-03-06 20:22:24 DEBUG ConfigFileApplicationListener:222 - Loaded config file 'file:/D:/%D0%9C%D0%B0%D0%BA%D1%81%D0%B8%D0%BC/%D0%A0%D0%B0%D0%B1%D0%BE%D1%82%D0%B0/Java/democonverter/target/classes/application.properties' (classpath:/application.properties)
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/application.xml
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/application.yml
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config classpath:/application.yaml
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./config/application-default.properties' (file:./config/application-default.properties) for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./config/application-default.properties' (file:./config/application-default.properties) for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./config/application.properties' (file:./config/application.properties) for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./config/application-default.xml' (file:./config/application-default.xml) for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./config/application-default.xml' (file:./config/application-default.xml) for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./config/application.xml' (file:./config/application.xml) for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./config/application-default.yml' (file:./config/application-default.yml) for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./config/application-default.yml' (file:./config/application-default.yml) for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./config/application.yml' (file:./config/application.yml) for profile default
